a;367428
b;81974
c;182330
d;153205
e;477145
f;54387
g;105640
h;119028
i;375395
j;7801
k;38866
l;249257
m;126769
n;310548
o;307801
p;134734
q;8096
r;305960
s;306061
t;281228
u;157478
v;42894
w;36767
x;12373
y;83264
z;17676
